chr	coord	esc_max_exp	npc_max_exp
chr13	32840000	15.26658	0.08072
chr1	142760000	0.00000	0.00000
chr16	37400000	0.03946	0.11355
chr7	101920000	35.56640	0.00000
chr2	4320000	0.00776	0.00659
chr18	61760000	10.39620	3.28853
chr5	11360000	0.15200	0.05737
chr7	120760000	0.00963	0.03815
chr11	77960000	0.09848	0.02323
chr5	98280000	0.72445	0.00634
chr9	105000000	0.00000	0.00000
chr5	147840000	0.00000	0.00000
chr7	10000000	0.00000	0.00000
chr6	96480000	0.00000	0.16353
chr10	130320000	0.07262	4.64390
chr4	62480000	4.54159	0.68297
chr6	103560000	0.00520	0.00000
chr3	130120000	0.00000	0.00000
chr3	22000000	0.07084	0.00000
chr5	27840000	2.83484	0.89040
chr3	133240000	0.48351	0.00387
chr3	104960000	0.06013	0.00000
chr1	176560000	0.00000	0.00000
chr6	85840000	0.03327	0.00000
chr4	7040000	0.00000	0.00000
chr15	20280000	0.00000	0.00000
chr12	49880000	0.01877	0.04783
chrY	29360000	0.42196	0.00000
chr1	140080000	0.04915	0.00000
chr15	63520000	0.00000	0.00000
chr5	86640000	0.00000	0.00233
chr13	106800000	0.00000	0.00000
chr12	81800000	0.62972	0.77377
chr17	86760000	2.88504	0.26592
chr13	90600000	0.00000	0.00000
chr1	9960000	61.40405	91.70962
chr3	22560000	0.31536	0.14420
chr5	134600000	15.27974	0.00000
chr2	136760000	0.00000	0.03375
chr9	44840000	0.17114	0.45677
chr13	6000000	0.00000	0.00000
chr5	73480000	1.40040	0.00000
chr3	155800000	0.00829	0.00000
chr17	55920000	290.12095	186.68706
chr15	98440000	0.00000	0.00000
chr1	163000000	0.00000	0.00000
chr1	155880000	0.00000	0.00000
chrX	115320000	0.00000	0.00000
chr2	163440000	20.23064	4.05650
chr18	12760000	0.18773	0.31884
chr5	101520000	0.06987	0.43513
chr11	119960000	2.48827	0.02102
chr2	71400000	150.25282	47.90019
chr19	60480000	0.03565	0.01009
chr3	130240000	8.90301	3.26141
chr2	135720000	0.00000	0.00000
chr1	74520000	40.30161	0.86755
chr6	99800000	0.00000	0.00000
chr6	18040000	0.00828	0.02814
chr2	86520000	0.00000	0.00000
chr16	8800000	64.36581	0.00000
chr1	172960000	0.00000	0.00000
chr7	137320000	0.01860	2.57158
chr16	36720000	2.96096	0.01108
chr18	49600000	0.00000	0.00000
chr4	41120000	12.05087	0.01735
chr13	111600000	20084.08059	0.00000
chr19	40920000	18.95467	0.00000
chr5	29560000	60.69320	0.39989
chr7	123960000	0.00000	0.00000
chr1	33720000	2.77985	1.66377
chr5	123440000	0.19323	0.45581
chr6	130360000	0.00000	0.00000
chr8	13000000	0.00000	0.00000
chr5	136560000	0.21442	0.26276
chrX	80680000	0.08302	0.07050
chr6	129120000	0.00000	0.00000
chr11	90200000	0.00000	0.00000
chr18	88960000	3.78346	9.30138
chr5	135360000	4.93343	0.06145
chr3	52520000	0.00000	0.00000
chr4	146200000	12.98515	0.09868
chrY	86400000	0.00000	0.00000
chr11	11840000	29.69934	10.43391
chr7	73760000	1.67398	0.00783
chr16	94600000	8.49615	12.05196
chr6	115040000	4.71574	3.61983
chr5	64480000	0.02455	0.00000
chr18	64520000	178.71237	64.23267
chr3	130960000	22.07111	7.12284
chr7	131640000	503.97932	312.96851
chrY	55080000	0.00000	0.00000
chr4	11360000	4.39475	0.16014
chr2	30760000	0.00585	0.18884
chr9	56200000	29.76943	97.37689
chr12	36120000	0.11586	0.07652
chr1	59040000	0.01566	0.00000
chr6	145200000	0.10348	0.00000
chr4	118480000	0.08980	0.15252
chr8	97600000	0.00000	0.00000
chr5	131320000	0.04169	0.11802
chr5	87040000	0.00000	0.00000
chrX	86200000	19.05078	0.63168
chr3	103280000	12.02267	0.00000
chr5	114080000	1.47854	3.56012
chrX	39880000	0.00000	0.00000
chr1	128800000	0.00000	0.00000
chr16	24000000	0.26764	0.27937
chr4	147880000	3.67015	3.57476
chr7	20360000	0.00000	0.00000
chr11	53360000	34.28438	0.00000
chr11	6440000	1424.02315	1.48709
chr6	3360000	0.04779	0.00000
chr6	128680000	11.39170	0.00000
chr5	120520000	3.21473	0.29375
chr2	22080000	0.73825	1.19415
chr3	29800000	0.00000	0.00000
chr7	132600000	27.90127	0.00000
chr14	26000000	2.02377	2.33903
chr4	84720000	0.00000	0.00000
chr8	122600000	192.59065	126.18404
chr4	95520000	0.00000	0.00000
chr5	120840000	1.32810	0.98741
chrX	157840000	0.30890	0.03279
chr9	46640000	0.00000	0.00000
chr14	70080000	0.01319	0.22404
chr9	54920000	0.73369	0.35502
chr16	54360000	0.00000	0.00000
chr19	3880000	4.44602	3.55134
chr12	17040000	1.16397	0.00897
chr10	76120000	1.82588	0.01486
chr16	11000000	0.00000	0.00000
chr2	88080000	0.00000	0.00000
chr5	145760000	0.00000	0.00000
chrX	155520000	4.96420	2.96525
chrX	13080000	72.86255	2.00439
chr11	16520000	291.22034	2.85718
chr1	140840000	0.00000	0.12140
chr1	120880000	0.00000	0.00000
chr8	88400000	16.87295	19.47397
chr17	30960000	0.01111	0.00000
chr2	51240000	0.00000	0.00000
chr9	51120000	0.02410	0.41201
chr2	159160000	0.00000	0.00000
chr9	39040000	0.00000	0.00000
chr5	109360000	0.00000	0.00000
chr11	119000000	0.00000	0.01062
chrY	51880000	0.00000	0.00000
chrY	54040000	0.00000	0.00000
chr2	75960000	1.53553	2.03422
chr11	109040000	0.00000	0.00000
chr2	24200000	3.96018	3.82265
chr5	94640000	1.22302	0.00000
chr1	20720000	0.00000	0.00000
chr15	103200000	4.00790	6.77326
chr1	84960000	0.13931	0.38804
chr3	122080000	0.09322	0.09896
chr13	3960000	0.00000	0.00000
chr11	87360000	0.22854	1.81297
chr6	57960000	0.00000	0.00000
chr11	78960000	0.02674	0.00757
chr6	140640000	9.99644	0.02805
chrX	76560000	0.00000	0.00000
chr6	45560000	0.01735	0.01474
chr5	11080000	0.00000	0.00000
chr1	95840000	7.15732	4.29913
chr1	170680000	0.10863	0.41514
chr17	80040000	0.00000	0.00000
chr5	64040000	0.00000	0.00000
chr13	56440000	0.07751	0.00470
chr14	55520000	0.13459	0.01490
chr13	18400000	0.01425	0.13069
chr7	16200000	0.55336	4.00432
chr5	122800000	0.92702	0.20030
chr2	94800000	0.00000	0.00000
chr10	52240000	2.23418	1.95828
chr1	17960000	0.02670	0.01134
chr14	77520000	0.00000	0.01364
chr9	82240000	0.08490	0.00000
chr4	49440000	0.05643	0.23961
chr17	22720000	13.65413	0.83486
chr2	77280000	0.43138	0.43960
chr1	68600000	0.00000	0.21467
chr9	54320000	0.00000	0.00000
chrX	76200000	0.00000	0.00000
chrX	164280000	4.76306	0.00000
chr4	118560000	2.22805	0.00000
chr6	48320000	1.30752	3.96557
chr7	34040000	0.19376	0.42782
chrY	4680000	0.00631	0.00000
chr13	74840000	7.46767	6.20460
chr10	57520000	23.18952	0.24067
chr7	45560000	24.05610	9.60271
chr17	91680000	0.00000	0.00000
chr2	115240000	0.00000	0.00000
chr2	71120000	0.06297	0.24362
chr15	4760000	0.00926	0.04716
chr5	115920000	0.10015	0.07655
chr6	105520000	0.00634	0.00000
chr6	136720000	0.00000	0.00000
chr2	112480000	4.83162	0.00000
chr13	4280000	0.25102	0.00000
chr12	71360000	0.01175	0.01995
chr2	119920000	30.56806	13.18928
chr4	86640000	18.83213	0.24034
chr11	74160000	0.00000	0.00000
chr17	80080000	7.98054	9.66382
chr14	53600000	0.40903	0.00000
chr9	58760000	5.28040	0.01242
chr6	34440000	0.05833	0.01238
chr4	43880000	0.91460	0.00000
chr17	24920000	52.07874	0.00000
chr12	83960000	9.76938	5.73369
chr11	68040000	0.00000	0.00000
chr15	95680000	0.25913	0.03668
chr13	31800000	0.00000	0.00000
chr19	12240000	0.00000	0.00000
chr2	86280000	0.00000	0.00000
chr10	129720000	0.00000	0.00000
chr3	51440000	36.09580	1.57194
chr17	87280000	9.93298	16.83396
chr15	73440000	13.00521	20.86158
chr17	26280000	31.63239	20.32927
chr13	37480000	0.26383	0.00000
chr1	135320000	22.69246	8.81641
chr5	96480000	0.00000	0.00000
chr12	111400000	5.73044	8.33491
chr1	147320000	0.00000	0.00000
chr5	73000000	0.00000	0.00000
chr9	63760000	2.11999	14.98933
chr6	147200000	0.02015	0.03422
chr2	176320000	10.26284	2.32038
chr16	21920000	0.00000	0.00000
chr5	121560000	1.17795	1.04796
chr3	113040000	0.00000	0.00000
chr5	92640000	0.52984	2.87107
chr17	47000000	0.12707	0.86325
chr16	91440000	0.08339	0.23327
chr11	83880000	0.02336	0.00000
chr13	69440000	0.00000	0.00000
chrY	71240000	0.00000	0.00000
chrX	69960000	1.28084	0.00000
chr18	58840000	0.28022	0.55073
chr4	91720000	0.00000	0.00000
chr16	32440000	7.28358	3.17857
chr12	3240000	1.97916	1.93373
chr11	116520000	23.61310	0.00000
chr6	30400000	17.93892	0.00000
chr6	114080000	0.02370	0.00000
chr6	73040000	0.00000	0.00000
chr11	20280000	14.05134	6.98320
chr13	76360000	0.00000	0.00000
chr5	63840000	0.88614	0.01320
chr3	25200000	0.00000	0.00000
chr3	106200000	0.00000	0.00000
chr6	24880000	0.00000	0.00000
chr3	101120000	4.24130	0.09624
chr7	135720000	29.51352	40.91922
chr9	107680000	0.40352	0.08903
chr2	90320000	0.00000	0.00000
chr1	134240000	0.00646	0.01097
chr7	23800000	0.00000	0.00000
chr5	123360000	1.58642	0.74761
chr6	132800000	0.00000	0.00000
chr3	72320000	0.00000	0.00000
chr15	103480000	2.32842	0.00000
chr4	62400000	10.88873	17.40035
chr2	51840000	0.00000	0.00000
chr10	67560000	13.24837	11.18642
chr15	78200000	7.25375	13.51117
chr12	98760000	20.08959	32.97190
chr13	114840000	3.19566	3.94543
chr19	34480000	0.00505	0.01175
chr8	71920000	15.11480	0.00691
chr10	71360000	46.55929	30.39299
chr7	56080000	9.37088	11.92138
chr2	33520000	0.57473	0.04067
chr2	127800000	9.31608	12.23380
chr10	43160000	0.00000	0.48169
chr2	38800000	0.00000	0.00000
chr9	97120000	20.86331	0.05935
chr16	22040000	17.64506	11.19070
chrY	75680000	0.00000	0.00000
chr1	66480000	0.05057	0.16132
chr12	55920000	0.00000	0.00000
chr7	43120000	48.72745	0.00000
chr17	10920000	0.08490	0.14420
chr2	103920000	0.00503	0.00000
chr3	68920000	5.04937	0.79596
chr4	48080000	0.00624	1.49694
chr14	53400000	0.08648	0.00000
chr1	54600000	0.00000	0.02740
chrX	41680000	0.00000	0.00000
chrX	73920000	0.22627	0.00000
chr10	61400000	20.21285	7.03671
chr11	14760000	0.00000	0.00000
chr5	94880000	0.31507	0.00000
chr2	148480000	0.00000	0.01188
chr4	135920000	0.02345	0.00000
chr17	47840000	0.91220	5.06855
chr12	62600000	0.00000	0.00000
chr3	56200000	0.89699	0.59220
chr10	115600000	0.02730	0.01585
chr12	81520000	1.54371	0.91765
chr1	139520000	0.00738	0.06891
chr2	85680000	0.00000	0.00000
chr6	73640000	0.00000	0.00000
chr7	8320000	0.06165	0.01745
chr4	21760000	12.49274	8.09396
chr14	79800000	0.06174	0.22284
chr4	148720000	1.72420	0.00000
chr10	128520000	694.31976	0.00000
chr5	77720000	0.01435	0.00000
chr12	57280000	0.00000	0.03404
chr10	130120000	0.00000	0.00000
chr5	55520000	0.00000	0.00000
chr2	100480000	0.62402	0.16486
chr4	129120000	1.88011	0.01298
chr5	45960000	0.00000	0.00000
chr1	119080000	2.12921	0.21839
chr2	85160000	0.01628	0.00691
chr10	97760000	0.00000	0.00000
chr4	107960000	4.25762	0.00000
chrY	28120000	0.00000	0.00000
chr10	127320000	55.56728	0.07931
chr5	30080000	16.39960	5.35082
chr1	34400000	0.00000	0.02730
chr2	140200000	33.54340	10.03696
chr11	75440000	2.24146	0.79311
chr10	72560000	0.00000	0.00000
chr6	45080000	0.82547	0.05163
chrY	70720000	0.00000	0.00000
chr5	77160000	0.14480	0.00000
chrY	64640000	0.00000	0.00000
chr1	61160000	0.00000	0.00000
chr1	157600000	0.00000	0.03039
chr4	93000000	0.00000	0.00000
chr6	108200000	4.20754	1.99385
chr13	27680000	0.00000	0.00000
chr6	89240000	0.12169	0.10334
chr6	125320000	20.28803	1.00403
chr6	12760000	0.07887	0.00000
chr1	184640000	4.39731	3.73425
chr18	24680000	0.27850	0.03850
chr2	167320000	0.05203	0.00000
chr7	68760000	14.47857	8.70060
chr4	109040000	17.24786	0.00000
chrY	15520000	0.00000	0.00000
chr10	103600000	0.00000	0.00000
chr3	51920000	0.03060	0.38984
chr14	115000000	0.00000	0.00000
chr2	179480000	0.14929	3.50383
chr6	130080000	0.01500	0.00000
chr15	90240000	15.16060	0.00000
chr15	79240000	4.54351	3.39702
chr1	189240000	0.00000	0.07287
chr7	29760000	4.18965	2.81667
chr5	135160000	6.38482	0.10168
chr4	101120000	0.00000	0.00000
chr7	144480000	25.23339	0.80113
chr16	85200000	2.59163	0.00000
chr17	73680000	0.01237	0.01576
chr3	90800000	0.15965	0.00000
chr16	17720000	8.44387	4.49070
chr5	107560000	0.03284	0.00398
chr8	31200000	164.37796	49.94446
chr11	59320000	0.33666	4.72677
chr3	82560000	0.00000	0.00000
chr11	38800000	0.00000	0.14825
chr7	108120000	0.00000	0.00000
chr1	111480000	0.00000	0.00000
chr5	56160000	0.00000	0.00000
chr2	6280000	0.00000	1.57133
chr4	73920000	0.42324	0.00000
chr14	27040000	7.81694	5.79302
chr2	171240000	0.00000	0.00000
chr5	15880000	0.00000	0.00000
chr9	39240000	0.00000	0.00000
chr13	69040000	0.01192	0.00000
chr17	43040000	4.00261	2.90473
chr3	22360000	0.00000	0.00000
chr19	42320000	0.00000	0.00000
chr19	10600000	9.51564	10.87415
chrY	22480000	0.00000	0.00000
chrY	89000000	0.00000	0.00000
chrX	50400000	0.04240	0.03601
chr7	9800000	0.00000	0.00000
chr6	99400000	0.03889	0.22295
chr12	105480000	0.27440	7.64603
chr5	82840000	0.00000	0.00000
chr13	62040000	2.56081	0.57681
chr6	79080000	0.00000	0.00000
chr9	89120000	6.25106	0.07714
chr15	80000000	13.91052	0.00000
chr4	152720000	0.00000	0.00000
chr11	104560000	31.16033	0.00000
chr4	107880000	333.35693	129.08204
chr2	156640000	1.55602	0.00000
chr10	77760000	0.00000	0.00000
chrX	66800000	372.12280	0.00000
chr8	75400000	14.37642	10.66398
chr2	35840000	0.00000	0.02429
chr7	62000000	0.00000	18.76666
chrX	101840000	95.35328	102.98888
chr7	23160000	0.12727	0.00000
chr4	151400000	0.01723	0.01463
chr6	39680000	0.76019	0.89149
chr1	109640000	0.00000	0.00000
chr14	99120000	40.89074	10.72261
chr13	85160000	1.23078	0.92223
chr2	121000000	6.88298	0.20600
chr6	112720000	8.42740	0.31468
chr1	185400000	33.45210	0.52704
chrY	13080000	0.00000	0.00000
chr5	67640000	0.22003	0.16697
chr2	73920000	104.75918	57.53629
chr17	54040000	0.00000	0.03301
chr4	20360000	0.00000	0.00000
chr17	57200000	0.00000	0.00000
chr1	178360000	32.51651	0.20358
chr5	75200000	0.00000	0.21436
chrY	39080000	0.00000	0.00000
chr10	58680000	0.01027	0.04361
chrX	21000000	23.71611	15.94940
chr3	92280000	34.25491	26.09902
chr2	169240000	0.00000	0.00000
chr2	11360000	0.03470	0.00000
chr10	79720000	100.27674	0.44474
chr9	50680000	14.36276	11.55422
chr3	103480000	0.00000	0.00000
chrX	146320000	0.00000	0.00000
chr5	33840000	2.96140	14.50858
chr1	63680000	0.00000	0.00000
chr16	55920000	0.68847	1.23346
chr17	46120000	10.79223	8.93275
chr11	115040000	0.00000	0.00000
chr11	30680000	8.50613	0.93740
chr3	122800000	0.00000	0.00000
chr9	10320000	0.00000	0.00000
chr17	8200000	15.64494	17.50473
chr5	134120000	0.42250	0.43558
chr13	23840000	0.00000	0.00000
chr7	16760000	18.80497	0.00000
chr5	141280000	79.51856	70.17481
chr7	140080000	0.03171	1.66972
chr5	106480000	0.02422	0.01403
chr7	32200000	0.00000	0.00000
chrY	49960000	0.00000	0.00000
chr5	33000000	0.77766	0.44450
chr1	180520000	0.00855	0.00000
chr5	136240000	0.31332	0.32748
chr6	39120000	5.58729	0.01803
chrX	147560000	2.88911	5.29979
chr8	126440000	15.85987	7.38992
chr10	82280000	8.04033	13.46954
chrY	2800000	0.13163	0.01016
chr5	106360000	0.00000	0.00000
chr15	64400000	1.96725	4.19348
chr10	86920000	0.09230	0.00000
chr10	94320000	0.44915	0.02256
chrY	38120000	0.00000	0.00000
chr9	14720000	0.00000	0.00000
chr2	76480000	0.00000	0.00000
chr2	148800000	0.24822	0.00000
chr3	116560000	2.62011	0.39746
chr11	73160000	14.37807	3.90630
chr6	55400000	0.00000	0.00000
chr8	27240000	4.05283	2.77444
chr15	79520000	3.94977	3.02887
chr16	28640000	0.00000	0.00000
chr2	169040000	1.35871	0.41958
chr7	103960000	0.00000	0.00000
chr7	108840000	0.00000	0.00000
chr2	88720000	0.01977	0.00000
chr10	79640000	0.85686	0.13628
chr8	22680000	22.58146	9.74001
chr1	69800000	0.00000	0.00000
chr1	5080000	5.60212	0.00000
chr14	45440000	38.77870	0.00000
chr2	33040000	2.38600	0.25956
chr2	22600000	464.38416	6.28271
chr1	73880000	0.18868	0.00000
chr3	61360000	0.00000	0.00000
chr3	33800000	6.34886	10.75891
chr5	26280000	0.02495	0.00000
chr16	17600000	0.38973	0.29109
chrY	63360000	0.00000	0.00000
chr6	133120000	5.83866	0.00000
chr1	31240000	0.24642	0.00000
chr3	64760000	0.00000	0.00000
chr13	27840000	0.00000	0.05383
chr4	124880000	21.75271	5.97232
chr9	24800000	0.34188	0.05300
chr13	93520000	2.91033	2.59795
chr7	77920000	0.00000	0.00000
chr2	30960000	9.48144	0.00000
chr3	6280000	0.00000	0.00000
chrX	88200000	0.00000	0.00000
chr2	174200000	0.17078	0.03626
chr1	179520000	2.20469	2.11751
chr5	92480000	0.18679	0.00000
chr2	156040000	21.14471	22.97453
chr5	123480000	0.14824	0.37767
chr3	47080000	3.04385	3.35403
chrY	55520000	0.00000	0.00000
chr18	50600000	0.00000	0.00000
chr14	63640000	1.19156	0.02302
chr8	94640000	36.11038	19.58734
chr2	113840000	0.33334	7.56214
chr6	100000000	0.10923	0.00000
chr4	152240000	0.07442	0.00000
chr14	109920000	0.00000	0.00000
chr2	130400000	942.71810	713.12924
chr5	75160000	0.12485	0.00000
chr17	27560000	438.70806	0.00000
chr4	76960000	2.76122	0.20600
chr7	29920000	6.02055	0.53771
chr7	101160000	462.79024	244.41835
chr9	33960000	0.00000	0.00000
chr3	92600000	0.00000	0.00000
chr6	49200000	0.00000	0.00000
chr7	91280000	0.00000	0.00000
chr6	132480000	0.00000	0.00000
chr10	12800000	0.37358	0.15862
chr2	9280000	0.00000	0.00000
chr9	123640000	0.00677	0.00000
chr9	59600000	0.05674	0.36359
chr10	88200000	0.00000	0.00000
chr1	23320000	0.98310	0.00000
chr19	41480000	23.68875	0.00000
chr13	21520000	2.33971	0.00000
chr9	83080000	0.00000	0.00000
chr4	139320000	6.15683	9.47492
chr1	177680000	0.00000	0.00000
chr14	9880000	0.00000	0.00000
chr5	58160000	0.00000	0.00000
chr1	79640000	0.04938	0.01048
chr16	30160000	0.00000	0.00000
chr11	58040000	34.81122	11.73239
chrY	73680000	0.00000	0.00000
chr14	73160000	1.73226	13.96498
chr6	90280000	0.00000	0.00000
chr5	76320000	3.01131	0.17030
chr5	113520000	0.08894	0.31451
chr8	44960000	21.53593	24.92516
chr7	118720000	11.93371	18.08415
chr12	40240000	9.36889	3.64833
chr8	15000000	0.08376	0.07113
chr13	34960000	0.06239	0.00000
chr1	38680000	1.08740	2.42793
chr8	21760000	0.13374	0.00000
chr19	4960000	45.77468	1.23178
chr10	73360000	0.10797	0.00000
chr11	40440000	0.00000	0.00000
chr13	109360000	0.23060	0.19583
chr13	19200000	0.00000	0.00000
chr9	118160000	20.54516	0.40294
chr11	9200000	0.11641	0.10850
chr5	44600000	0.00000	0.00000
chrX	24600000	0.00000	0.00000
chr7	67960000	2.78789	12.48772
chr3	101320000	51.52040	0.00000
chrX	148600000	0.00000	0.00000
chr19	11600000	0.00000	0.00000
chrX	46400000	0.00000	0.00000
chr16	8880000	0.00000	0.00000
chr6	113240000	14.99404	12.90725
chr3	142760000	0.02771	0.00000
chr7	27680000	2.17364	0.38181
chr4	32160000	0.00000	0.00000
chr15	80040000	0.79376	0.60883
chrX	33720000	0.00000	0.00000
chr4	25520000	0.00000	0.00000
chr11	53760000	0.00000	0.00000
chr7	9920000	0.00000	0.00000
chr16	78320000	6.86283	22.91975
chr1	15280000	2.85059	1.27408
chr2	80880000	0.03312	0.00000
chrX	6200000	1.15756	4.28952
chr15	11000000	3.53266	1.32442
chr4	39920000	0.09780	0.03322
chr6	38280000	0.36802	2.08392
chr5	137360000	4.06587	0.11850
chr12	110920000	681.05326	1034.59856
chr2	140160000	0.00000	0.00000
chr6	136800000	0.06133	0.02003
chr7	44480000	1.14376	0.73211
chr16	31880000	0.08587	0.11130
chr2	110320000	0.00000	0.00000
chr1	7680000	3.58312	1.96253
chr6	75240000	0.00000	0.00000
chr1	138880000	1.41959	0.00000
chr6	40520000	0.31335	0.23488
chr17	56520000	0.00000	0.00000
chrX	136880000	0.03285	0.11159
chr14	73240000	2.50781	3.20811
chr4	135440000	4.49886	0.60237
chr7	84640000	5.13380	5.73245
chr8	102880000	615.81147	546.34186
chr9	35400000	0.00000	0.00000
chr3	4360000	0.15697	0.00000
chr6	84000000	0.87381	1.01389
chr18	68360000	0.72336	0.01365
chr12	115960000	0.00000	0.00000
chr5	91520000	0.49756	0.36307
chrY	27120000	0.00000	0.00000
chr5	148200000	2.51325	1.40498
chrY	82040000	0.00000	0.00000
chr5	115160000	29.48753	9.42847
chr2	140400000	1.45328	0.02317
chr4	35160000	0.66581	0.01970
chr1	180680000	3.68472	3.19479
chr9	118080000	4.78357	8.09497
chr1	18720000	0.00000	0.00000
chr17	57280000	14.95940	5.20162
chr3	93640000	0.48669	0.00000
chr2	84440000	0.29078	1.16644
chr1	45920000	0.19951	0.29649
chr7	118280000	8.62088	0.00000
chr7	115200000	47.63108	33.50911
chr5	11520000	0.00000	0.00000
chr1	92800000	0.00000	0.00000
chr6	117960000	0.59177	0.00000
chr3	67560000	0.39931	0.00000
chr1	176840000	2.21364	3.93048
chrX	7760000	100.21042	54.21010
chr15	36640000	81.05937	56.85732
chr8	111280000	14.79292	15.05688
chr3	108080000	2.91071	0.96642
chr3	86800000	0.02348	0.15952
chr4	134200000	14.12347	0.72101
chr1	25320000	0.00000	0.33848
chr7	99240000	0.29520	1.84988
chr12	115280000	0.30372	0.00000
chr8	78240000	1.06555	0.00896
chr7	83680000	0.00000	0.12834
chr11	71760000	1.19820	0.02146
chr18	81000000	0.57236	0.42003
chr12	99640000	0.05792	0.36889
chr3	35360000	0.00000	0.00000
chr18	4360000	0.17418	0.16553
chr7	120200000	0.00000	0.00000
chr7	18960000	0.20303	1.01176
chr17	37280000	1.76657	0.00000
chr3	10400000	4.85721	0.02044
chr9	30000000	0.05086	0.59098
chr9	24640000	0.00000	0.00000
chr4	114840000	0.01620	0.00000
chrY	51800000	0.00000	0.00000
chr18	35240000	0.00659	0.19600
chr11	64600000	0.00000	0.00000
chr9	104400000	0.00000	0.00000
chr2	67920000	0.06474	0.13259
chr1	87760000	6.66021	3.43343
chr7	59560000	0.47895	4.67734
chr19	5080000	14.09988	0.26644
chr17	61280000	0.00000	0.00000
chr4	134160000	29.78151	9.48647
chrX	48680000	0.15697	0.26659
chr3	104400000	0.00000	0.00000
chr2	115160000	0.00000	0.00000
chr12	106720000	0.00000	0.00000
chr19	5280000	2.01899	3.99939
chr5	58200000	0.00000	0.00000
chr2	130200000	54.46739	71.25191
chr4	42120000	0.04110	0.01745
chr8	21600000	0.48248	0.00000
chr14	76560000	2.70382	0.09567
chr9	89920000	0.01688	0.01004
chrY	68160000	0.00000	0.00000
chrY	30200000	0.00000	0.00000
chr1	148680000	0.00000	0.04016
chr2	158200000	0.06175	0.00000
chr10	62280000	0.09100	0.00702
chr3	101240000	0.06905	0.00000
chr9	37560000	2.67696	0.10846
chr16	33160000	0.04681	0.00000
chr15	64120000	0.00000	0.00000
chrX	7320000	2.35361	3.92402
chr2	25400000	2.74838	0.02236
chr7	141480000	240.69761	0.00000
chr1	135440000	18.69701	0.46601
chrY	65000000	0.00000	0.00000
chr11	69800000	0.53874	0.06863
chr9	43120000	4.92496	2.36575
chr2	9640000	0.00000	0.00000
chr13	120080000	0.00000	0.00000
chr7	51520000	0.00480	0.01630
chr3	139440000	8.55387	4.44737
chr7	124200000	0.00000	0.08621
chr11	83200000	0.82286	0.00000
chr4	51200000	0.52322	0.35546
chr7	42600000	22.78165	0.12896
chr16	15240000	0.00000	0.00000
chr1	190480000	0.00000	0.00000
chr6	17360000	0.00000	0.00000
chr8	105400000	0.25227	1.01762
chr4	140760000	0.09590	0.00626
chr4	58680000	0.02134	0.05435
chr1	93840000	56.89561	0.00000
chr13	33520000	0.01945	0.00000
chr14	63440000	1.03140	0.00000
chr5	10240000	0.11876	0.00000
chr11	62480000	19.75926	3.71379
chr7	106120000	0.00000	0.00000
chr12	56720000	0.00739	0.00000
chr5	57800000	0.00000	0.30959
chr4	128640000	1.84447	0.00000
chr8	128360000	0.16443	0.00000
chr5	66720000	0.98153	0.00000
chr5	30880000	4.30254	0.05377
chr17	72720000	0.00000	0.00000
chr19	47480000	1.96535	3.63208
chr4	103320000	5.81101	0.00000
chr8	84000000	26.50756	11.71099
chr9	122760000	0.40598	0.00319
chr18	75000000	0.24662	5.82218
chr6	113760000	44.70840	0.73421
chrY	89960000	0.00000	0.00000
chr2	106080000	0.00000	0.00000
chr11	61560000	0.00000	0.04763
chr8	123240000	2102.93956	1589.52961
chr15	33600000	0.00000	0.00000
chr3	145600000	26.67906	6.57297
chr5	151600000	0.00789	0.01340
chr5	150120000	0.73135	0.00000
chr18	10080000	29.40341	14.46034
chrY	45240000	0.00000	0.00000
chr3	81920000	0.00000	0.00000
chr15	96720000	70.22539	0.17056
chr13	62800000	5.35277	0.00000
chr5	143240000	2.91687	0.00000
chr13	55240000	36.89454	18.71240
chr8	128680000	0.00000	0.00000
chrY	69800000	0.00000	0.00000
chrX	90760000	1.89707	0.80551
chr17	65800000	15.25434	7.36204
chrX	101920000	0.00000	0.00000
chr14	31440000	0.92985	2.91024
chr19	45760000	162.03553	60.65626
chr16	59440000	0.02256	0.01916
chr12	96280000	0.00000	0.00000
chr7	43840000	0.17127	0.03636
chr10	53600000	30.41740	16.43713
chr9	124360000	0.11548	0.00000
chr1	76520000	0.00854	0.00000
chr7	29240000	10.66782	9.78444
chr14	36800000	0.00000	0.14964
chrX	157080000	0.00000	0.00000
chr5	16640000	0.00000	0.00000
chrX	17280000	0.39742	0.00000
chr1	85760000	0.00000	0.00000
chrX	167480000	0.00000	0.02921
chr15	36040000	0.00000	0.00000
chr4	12000000	2.42862	0.00930
chr15	55560000	12.88643	7.61334
chr12	80920000	0.87284	0.88947
chr4	9680000	3.24577	0.88124
chr11	82800000	26.96752	4.22995
chr19	58640000	0.20139	0.02138
chr18	45320000	79.38514	43.67880
chr4	49360000	0.00000	0.00000
chr2	149800000	0.58534	0.03314
chrY	77320000	0.26812	0.00000
chr8	94960000	0.26116	0.10081
chr3	126280000	0.00000	0.02546
chr11	3320000	10.29172	5.25109
chr13	97200000	18.03137	8.07278
chr14	61560000	3.08514	3.73370
chr15	76720000	6.00086	1.41144
chr7	12360000	0.00000	0.00000
chr2	111880000	0.00000	0.00000
chr6	63240000	0.00000	0.00000
chr11	6080000	1.69901	0.25727
chrX	162320000	0.00000	0.00000
chr14	64600000	0.64933	0.00000
