gene	chr	coord	expression_breadth
ENSMUSG00000024097	chr17	80200000	32
ENSMUSG00000060621	chr7	19500000	31
ENSMUSG00000040950	chr11	70120000	32
ENSMUSG00000030427	chr7	3900000	18
ENSMUSG00000064165	chr11	99520000	1
ENSMUSG00000046490	chr11	68880000	18
ENSMUSG00000047535	chr7	103780000	9
ENSMUSG00000094673	chr10	78900000	0
ENSMUSG00000067578	chr2	172040000	14
ENSMUSG00000046380	chr15	74700000	32
ENSMUSG00000066268	chr7	103120000	0
ENSMUSG00000026199	chr1	75180000	32
ENSMUSG00000039483	chr2	30820000	32
ENSMUSG00000032301	chr9	54940000	32
ENSMUSG00000055850	chr6	72360000	32
ENSMUSG00000042894	chr2	89960000	0
ENSMUSG00000033021	chr1	75420000	32
ENSMUSG00000018698	chr11	84520000	20
ENSMUSG00000040771	chr17	48400000	32
ENSMUSG00000027857	chr3	102780000	25
ENSMUSG00000048047	chrX	38180000	32
ENSMUSG00000007987	chr5	136900000	32
ENSMUSG00000074812	chr2	128580000	1
ENSMUSG00000038827	chr4	56800000	32
ENSMUSG00000026180	chr1	74140000	16
ENSMUSG00000020087	chr10	61680000	32
ENSMUSG00000002326	chr14	55660000	32
ENSMUSG00000045664	chr19	5920000	32
ENSMUSG00000023993	chr17	48340000	25
ENSMUSG00000059319	chr7	86580000	0
ENSMUSG00000048707	chr2	25260000	32
ENSMUSG00000045257	chr17	80280000	32
ENSMUSG00000095457	chr7	106320000	10
ENSMUSG00000020867	chr11	94480000	17
ENSMUSG00000036957	chr7	30360000	22
ENSMUSG00000022820	chr16	37640000	23
ENSMUSG00000027715	chr3	36560000	32
ENSMUSG00000061165	chr9	37700000	9
ENSMUSG00000075093	chr2	89300000	0
ENSMUSG00000093839	chr11	87880000	0
ENSMUSG00000057424	chr9	38980000	0
ENSMUSG00000025400	chr10	127720000	25
ENSMUSG00000073902	chr7	106600000	16
ENSMUSG00000009555	chr2	32700000	32
ENSMUSG00000075120	chr2	88700000	0
ENSMUSG00000095649	chr7	106080000	10
ENSMUSG00000025102	chr7	81780000	32
ENSMUSG00000093593	chr17	25840000	23
ENSMUSG00000045294	chr5	28060000	32
ENSMUSG00000001665	chr10	75780000	32
ENSMUSG00000006342	chr10	75640000	32
ENSMUSG00000048696	chr10	80380000	32
ENSMUSG00000074647	chr2	155820000	16
ENSMUSG00000066224	chr4	41720000	7
ENSMUSG00000033208	chr10	76240000	32
ENSMUSG00000024712	chr19	17380000	32
ENSMUSG00000026849	chr2	30960000	32
ENSMUSG00000060738	chr13	27780000	11
ENSMUSG00000093755	chr6	66800000	0
ENSMUSG00000030339	chr6	125300000	32
ENSMUSG00000030256	chr6	145860000	32
ENSMUSG00000037594	chr12	112800000	32
ENSMUSG00000044006	chr8	69880000	32
ENSMUSG00000006850	chr18	36720000	32
ENSMUSG00000078652	chr11	101300000	32
ENSMUSG00000033860	chr3	83000000	26
ENSMUSG00000052819	chr8	85000000	16
ENSMUSG00000072708	chr11	73480000	0
ENSMUSG00000059995	chr11	102280000	32
ENSMUSG00000071179	chr12	103660000	7
ENSMUSG00000026547	chr1	172500000	32
ENSMUSG00000024903	chr4	118960000	18
ENSMUSG00000054258	chr13	41640000	17
ENSMUSG00000091306	chr14	54640000	14
ENSMUSG00000075141	chr2	88000000	0
ENSMUSG00000090472	chr14	4540000	7
ENSMUSG00000068246	chr15	77720000	22
ENSMUSG00000036744	chr7	106800000	10
ENSMUSG00000073027	chrX	102700000	2
ENSMUSG00000030124	chr6	124900000	31
ENSMUSG00000048226	chr2	88940000	0
ENSMUSG00000057346	chr15	77400000	22
ENSMUSG00000025792	chr11	120480000	32
ENSMUSG00000005891	chr13	28000000	11
ENSMUSG00000052456	chr8	85020000	32
ENSMUSG00000031832	chr8	119600000	32
ENSMUSG00000025225	chr19	46300000	32
ENSMUSG00000042682	chr14	29960000	32
ENSMUSG00000003545	chr7	19300000	32
ENSMUSG00000002324	chr14	55600000	32
ENSMUSG00000026985	chr2	24140000	14
ENSMUSG00000022175	chr14	54460000	32
ENSMUSG00000067377	chrX	133880000	32
ENSMUSG00000038236	chr6	52220000	28
ENSMUSG00000074397	chr9	44440000	9
ENSMUSG00000036513	chr3	57640000	32
ENSMUSG00000052151	chr10	79520000	32
ENSMUSG00000037171	chr10	61400000	26
ENSMUSG00000057447	chr2	88820000	0
ENSMUSG00000050213	chr4	125060000	32
ENSMUSG00000040514	chr5	7300000	12
ENSMUSG00000028848	chr4	133580000	32
ENSMUSG00000055305	chr7	24260000	32
ENSMUSG00000046095	chr11	100080000	17
ENSMUSG00000027305	chr2	119660000	32
ENSMUSG00000023165	chrX	8460000	2
ENSMUSG00000060523	chr14	50080000	0
ENSMUSG00000094733	chr16	36200000	1
ENSMUSG00000042988	chr11	120660000	31
ENSMUSG00000024114	chr17	23840000	30
ENSMUSG00000023000	chr15	98880000	31
ENSMUSG00000075524	chr15	82040000	10
ENSMUSG00000030741	chr7	126360000	32
ENSMUSG00000061360	chr15	81860000	32
ENSMUSG00000025875	chr13	54780000	32
ENSMUSG00000059851	chr7	4740000	32
ENSMUSG00000075117	chr2	88740000	0
ENSMUSG00000020889	chr11	98760000	32
ENSMUSG00000007594	chr8	70080000	28
ENSMUSG00000029597	chr5	120460000	32
ENSMUSG00000045515	chr1	42680000	23
ENSMUSG00000033862	chr8	123220000	10
ENSMUSG00000054498	chr7	86320000	0
ENSMUSG00000022125	chr14	103060000	32
ENSMUSG00000050824	chr17	25480000	15
ENSMUSG00000063780	chr15	98420000	0
ENSMUSG00000061825	chr8	104840000	16
ENSMUSG00000025485	chr7	140840000	32
ENSMUSG00000053226	chr8	84820000	32
ENSMUSG00000004996	chr8	84240000	32
ENSMUSG00000045532	chr11	102940000	29
ENSMUSG00000052565	chr13	23540000	21
ENSMUSG00000030894	chr7	105740000	32
ENSMUSG00000058331	chr13	67740000	22
ENSMUSG00000033350	chr9	95400000	32
ENSMUSG00000062054	chr12	21300000	32
ENSMUSG00000078624	chr7	103540000	2
ENSMUSG00000068697	chr14	20640000	20
ENSMUSG00000056921	chr11	73880000	0
ENSMUSG00000035831	chr11	99320000	13
ENSMUSG00000091325	chr14	7500000	2
ENSMUSG00000028647	chr4	123900000	32
ENSMUSG00000022996	chr15	98760000	28
ENSMUSG00000090215	chr7	104320000	23
ENSMUSG00000062524	chr7	4320000	27
ENSMUSG00000030532	chr7	80340000	32
ENSMUSG00000043372	chr11	103120000	32
ENSMUSG00000026424	chr1	135160000	30
ENSMUSG00000056596	chr4	133480000	32
ENSMUSG00000054169	chr7	24760000	28
ENSMUSG00000023947	chr17	45540000	32
ENSMUSG00000037773	chr2	130420000	32
ENSMUSG00000000171	chr9	50600000	32
ENSMUSG00000075543	chr5	147320000	10
ENSMUSG00000071256	chr17	23560000	32
ENSMUSG00000034739	chr9	44100000	23
ENSMUSG00000016524	chr1	130940000	1
ENSMUSG00000042499	chr2	74660000	8
ENSMUSG00000032714	chr10	78580000	32
ENSMUSG00000075063	chr2	90240000	0
ENSMUSG00000050366	chr7	140200000	5
ENSMUSG00000047123	chr17	56260000	32
ENSMUSG00000045551	chr17	17880000	29
ENSMUSG00000046312	chr4	41500000	32
ENSMUSG00000074928	chr16	88820000	0
ENSMUSG00000004665	chr10	79980000	32
ENSMUSG00000023175	chr10	79700000	32
ENSMUSG00000094353	chr9	39720000	0
ENSMUSG00000006378	chr15	79020000	32
ENSMUSG00000064201	chr15	101800000	11
ENSMUSG00000042363	chr11	20820000	32
ENSMUSG00000069818	chr11	73780000	0
ENSMUSG00000024258	chr18	31780000	32
ENSMUSG00000021081	chr12	103680000	17
ENSMUSG00000034993	chr11	101460000	32
ENSMUSG00000061904	chr10	91120000	32
ENSMUSG00000005774	chr3	94940000	32
ENSMUSG00000048920	chr7	16800000	32
ENSMUSG00000066361	chr12	104140000	29
ENSMUSG00000003190	chr7	44980000	32
ENSMUSG00000023019	chr15	99700000	32
ENSMUSG00000001420	chr3	88320000	32
ENSMUSG00000040164	chr2	164160000	26
ENSMUSG00000018623	chr9	7680000	21
ENSMUSG00000032199	chr9	71480000	23
ENSMUSG00000004341	chr13	21300000	20
ENSMUSG00000071036	chr17	86500000	30
ENSMUSG00000095041	chrJH584304.1	40000	9
ENSMUSG00000015290	chrX	74360000	32
ENSMUSG00000048173	chrX	50420000	0
ENSMUSG00000034616	chr19	4260000	32
ENSMUSG00000069258	chr13	27380000	11
ENSMUSG00000032318	chr9	55520000	25
ENSMUSG00000063844	chr2	111240000	0
ENSMUSG00000054604	chr16	64840000	32
ENSMUSG00000054435	chr6	48680000	32
ENSMUSG00000005687	chr3	103160000	32
ENSMUSG00000075604	chr15	74840000	19
ENSMUSG00000021037	chr12	87260000	32
ENSMUSG00000054406	chr11	74340000	1
ENSMUSG00000050179	chr3	107080000	17
ENSMUSG00000003809	chr8	84880000	32
ENSMUSG00000050063	chr7	43820000	19
ENSMUSG00000061923	chr15	38200000	18
ENSMUSG00000060205	chr10	79020000	0
ENSMUSG00000091526	chr10	58680000	4
ENSMUSG00000075095	chr2	89280000	0
ENSMUSG00000061829	chr13	23020000	0
ENSMUSG00000016982	chr13	21980000	12
ENSMUSG00000091034	chr5	104060000	5
ENSMUSG00000058515	chr9	38960000	0
ENSMUSG00000053287	chr2	85760000	1
ENSMUSG00000001983	chr11	106060000	23
ENSMUSG00000028001	chr3	83020000	21
ENSMUSG00000073862	chr7	113700000	1
ENSMUSG00000050229	chr1	172360000	32
ENSMUSG00000020686	chr11	83420000	24
ENSMUSG00000037243	chr11	58300000	32
ENSMUSG00000019467	chr10	127180000	32
ENSMUSG00000006360	chr12	113140000	32
ENSMUSG00000030966	chr7	102560000	32
ENSMUSG00000017195	chr11	98540000	28
ENSMUSG00000006179	chr13	22000000	30
ENSMUSG00000049280	chr7	108640000	0
ENSMUSG00000015745	chr3	95980000	32
ENSMUSG00000038071	chr18	44260000	13
ENSMUSG00000023979	chr17	47380000	31
ENSMUSG00000048371	chr8	104580000	32
ENSMUSG00000036446	chr10	97560000	32
ENSMUSG00000039661	chr8	31080000	32
ENSMUSG00000063867	chr14	52380000	3
ENSMUSG00000033735	chr6	85120000	32
ENSMUSG00000009640	chr4	117680000	32
ENSMUSG00000095831	chr6	42720000	0
ENSMUSG00000001334	chr4	129120000	32
ENSMUSG00000011349	chr7	24860000	13
ENSMUSG00000041241	chr4	138420000	32
ENSMUSG00000047794	chr7	105180000	0
ENSMUSG00000071711	chr15	78400000	32
ENSMUSG00000034071	chr7	12420000	31
ENSMUSG00000021091	chr12	104400000	32
ENSMUSG00000009093	chr10	75820000	18
ENSMUSG00000027871	chr3	98840000	21
ENSMUSG00000019428	chr8	70520000	32
ENSMUSG00000026818	chr2	28560000	26
ENSMUSG00000030717	chr7	126620000	32
ENSMUSG00000060404	chr13	21100000	0
ENSMUSG00000071613	chr14	3120000	19
ENSMUSG00000053773	chr9	20800000	0
ENSMUSG00000092463	chrX	101260000	2
ENSMUSG00000018449	chr11	70960000	32
ENSMUSG00000006021	chr7	16100000	32
ENSMUSG00000070313	chr9	36640000	15
ENSMUSG00000027579	chr2	181200000	32
ENSMUSG00000075075	chr2	89740000	1
ENSMUSG00000019087	chrX	74280000	32
ENSMUSG00000029559	chr5	114940000	32
ENSMUSG00000035443	chr9	26980000	32
ENSMUSG00000042210	chr9	106440000	32
ENSMUSG00000072941	chr5	52360000	32
ENSMUSG00000069421	chr10	129780000	1
ENSMUSG00000055730	chr8	104720000	25
ENSMUSG00000094379	chr13	22500000	0
ENSMUSG00000073914	chr7	105040000	0
ENSMUSG00000021342	chr13	27040000	11
ENSMUSG00000095629	chr7	13200000	0
ENSMUSG00000091477	chr14	43540000	2
ENSMUSG00000061374	chr7	5000000	32
ENSMUSG00000013997	chr1	171340000	32
ENSMUSG00000033595	chr14	70520000	32
ENSMUSG00000045132	chr7	103600000	0
ENSMUSG00000023987	chr17	47720000	9
ENSMUSG00000050860	chr11	95820000	23
ENSMUSG00000048807	chr11	3900000	32
ENSMUSG00000027134	chr2	112220000	32
ENSMUSG00000020692	chr11	82900000	32
ENSMUSG00000043448	chr11	59180000	32
ENSMUSG00000026809	chr2	28680000	32
ENSMUSG00000073924	chr7	104600000	0
ENSMUSG00000034641	chr11	114980000	27
ENSMUSG00000037752	chr4	132720000	32
ENSMUSG00000026171	chr1	74600000	32
ENSMUSG00000050818	chr11	58520000	6
ENSMUSG00000032739	chr17	33620000	21
ENSMUSG00000025402	chr10	127660000	32
ENSMUSG00000030486	chr7	24240000	31
ENSMUSG00000029683	chr6	24580000	17
ENSMUSG00000062382	chr13	74380000	23
ENSMUSG00000001445	chr11	97040000	32
ENSMUSG00000073295	chrX	6040000	31
ENSMUSG00000058207	chr12	104320000	24
ENSMUSG00000001751	chr11	101060000	32
ENSMUSG00000095377	chr17	37080000	0
ENSMUSG00000045225	chr2	87860000	0
ENSMUSG00000093948	chr14	42640000	1
ENSMUSG00000028609	chr4	107860000	23
ENSMUSG00000051493	chr9	39920000	0
ENSMUSG00000026511	chr1	182120000	32
ENSMUSG00000004540	chr7	18820000	21
ENSMUSG00000020153	chr10	80240000	32
ENSMUSG00000033933	chr6	113620000	32
ENSMUSG00000046722	chr3	95220000	32
ENSMUSG00000044933	chr15	78540000	28
ENSMUSG00000029810	chr6	48840000	32
ENSMUSG00000094553	chr6	90100000	11
ENSMUSG00000000167	chr9	50600000	32
ENSMUSG00000045969	chr8	11540000	32
ENSMUSG00000029001	chr4	148160000	32
ENSMUSG00000028743	chr4	139300000	32
ENSMUSG00000075078	chr2	89660000	1
ENSMUSG00000048996	chr13	21540000	0
ENSMUSG00000038500	chr17	35980000	32
ENSMUSG00000037103	chr8	84100000	32
ENSMUSG00000073110	chr6	42940000	0
ENSMUSG00000060787	chr11	87920000	6
ENSMUSG00000035235	chr14	61580000	32
ENSMUSG00000049672	chr17	69380000	32
ENSMUSG00000025497	chr7	141260000	26
ENSMUSG00000075486	chr14	101640000	32
ENSMUSG00000075330	chr16	19880000	25
ENSMUSG00000014859	chr8	105280000	32
ENSMUSG00000001655	chr15	102920000	11
ENSMUSG00000063851	chr4	62420000	30
ENSMUSG00000038671	chr2	181360000	32
ENSMUSG00000062591	chr17	57080000	31
ENSMUSG00000079444	chr17	47680000	23
ENSMUSG00000053329	chr10	78160000	32
ENSMUSG00000045792	chr7	102980000	0
ENSMUSG00000038722	chr5	145140000	32
ENSMUSG00000073947	chr7	103540000	0
ENSMUSG00000020918	chr11	100700000	32
ENSMUSG00000079625	chr16	32400000	18
ENSMUSG00000042737	chr3	89240000	32
ENSMUSG00000022490	chr15	103520000	30
ENSMUSG00000001583	chr11	69840000	32
ENSMUSG00000070332	chr11	115440000	27
ENSMUSG00000051147	chr8	67480000	31
ENSMUSG00000075121	chr2	88680000	0
ENSMUSG00000073927	chr7	104560000	0
ENSMUSG00000034891	chr13	54760000	27
ENSMUSG00000073900	chr7	106860000	0
ENSMUSG00000020872	chr11	95260000	24
ENSMUSG00000096847	chr17	45540000	31
ENSMUSG00000051234	chr9	96460000	32
ENSMUSG00000059375	chr6	66600000	0
ENSMUSG00000090894	chr17	37480000	7
ENSMUSG00000048933	chr14	49900000	0
ENSMUSG00000094080	chr10	78940000	0
ENSMUSG00000089857	chr8	71900000	31
ENSMUSG00000023992	chr17	48340000	32
ENSMUSG00000027927	chr3	92140000	16
ENSMUSG00000063116	chr11	74320000	0
ENSMUSG00000002043	chr7	19500000	32
ENSMUSG00000035020	chr5	91020000	13
ENSMUSG00000026830	chr2	58040000	14
ENSMUSG00000032368	chr9	91360000	20
ENSMUSG00000091867	chr7	26920000	3
ENSMUSG00000023960	chr17	44060000	32
ENSMUSG00000074946	chr2	112060000	0
ENSMUSG00000046841	chr10	84520000	32
ENSMUSG00000058568	chr8	21820000	4
ENSMUSG00000031820	chr8	71380000	32
ENSMUSG00000042178	chr7	128220000	32
ENSMUSG00000048456	chr19	12920000	0
ENSMUSG00000022890	chr16	84820000	32
ENSMUSG00000040599	chr11	71000000	32
ENSMUSG00000008874	chr8	114400000	3
ENSMUSG00000059540	chr2	181680000	32
ENSMUSG00000047641	chr15	101420000	23
ENSMUSG00000067702	chr6	125280000	16
ENSMUSG00000091159	chr9	22440000	0
ENSMUSG00000049922	chr2	92460000	32
ENSMUSG00000022947	chr16	93680000	32
ENSMUSG00000004961	chr7	4540000	31
ENSMUSG00000001053	chr11	51640000	32
ENSMUSG00000049598	chr1	172540000	31
ENSMUSG00000051611	chr17	37560000	11
ENSMUSG00000026926	chr2	26380000	32
ENSMUSG00000049382	chr15	102000000	32
ENSMUSG00000042451	chr1	134180000	29
ENSMUSG00000029463	chr5	122360000	32
ENSMUSG00000024732	chr19	10940000	32
ENSMUSG00000070459	chr7	84900000	0
ENSMUSG00000047443	chr1	91360000	23
ENSMUSG00000001039	chr11	61500000	32
ENSMUSG00000024870	chr19	5100000	32
ENSMUSG00000070837	chr7	6980000	12
ENSMUSG00000044294	chr15	101520000	15
ENSMUSG00000026385	chr1	120120000	32
ENSMUSG00000030647	chr7	97400000	32
ENSMUSG00000038323	chr1	57360000	32
ENSMUSG00000046694	chr4	133480000	30
ENSMUSG00000078234	chr4	139960000	32
ENSMUSG00000000817	chr1	161780000	27
ENSMUSG00000032987	chr15	98440000	1
ENSMUSG00000050762	chr17	24020000	29
ENSMUSG00000032864	chr2	101620000	10
ENSMUSG00000044617	chr10	127720000	32
ENSMUSG00000048626	chr4	117760000	13
ENSMUSG00000028140	chr3	94440000	32
ENSMUSG00000042459	chr2	154000000	11
ENSMUSG00000052117	chr4	57900000	31
ENSMUSG00000038181	chr5	24580000	32
ENSMUSG00000062432	chr19	37680000	16
ENSMUSG00000061039	chr9	38740000	20
ENSMUSG00000031877	chr8	104960000	29
ENSMUSG00000020945	chr11	103620000	13
ENSMUSG00000002345	chr8	70120000	32
ENSMUSG00000034677	chr11	114780000	7
ENSMUSG00000023387	chr14	20260000	20
ENSMUSG00000050043	chr2	84660000	23
ENSMUSG00000031776	chr8	94660000	32
ENSMUSG00000002289	chr17	33780000	32
ENSMUSG00000002409	chr7	28160000	32
ENSMUSG00000026641	chr1	171400000	23
ENSMUSG00000078575	chr4	121620000	0
ENSMUSG00000002804	chr12	112940000	32
ENSMUSG00000060699	chr6	66680000	1
ENSMUSG00000075065	chr2	90140000	0
ENSMUSG00000094140	chr14	52360000	1
ENSMUSG00000038891	chr13	27240000	13
ENSMUSG00000029490	chr5	108440000	23
ENSMUSG00000002393	chr8	71380000	32
ENSMUSG00000020427	chr11	7200000	32
ENSMUSG00000029730	chr5	138160000	23
ENSMUSG00000002320	chr14	55640000	32
ENSMUSG00000035560	chr12	65220000	32
ENSMUSG00000096035	chr5	91980000	11
ENSMUSG00000062543	chr15	63840000	11
ENSMUSG00000057149	chr2	111740000	0
ENSMUSG00000025137	chr11	120600000	32
ENSMUSG00000053964	chr7	28820000	32
ENSMUSG00000020911	chr11	100140000	31
ENSMUSG00000038224	chr11	75420000	29
ENSMUSG00000042604	chr2	107280000	16
ENSMUSG00000070436	chr7	99340000	32
ENSMUSG00000096316	chr9	99220000	7
ENSMUSG00000033961	chr7	12960000	32
ENSMUSG00000094692	chr14	50400000	0
ENSMUSG00000037145	chr11	58600000	19
ENSMUSG00000095891	chr9	3020000	12
ENSMUSG00000070374	chr11	74280000	0
ENSMUSG00000006373	chrX	36580000	32
ENSMUSG00000062252	chr17	28560000	23
ENSMUSG00000056061	chr2	180320000	18
ENSMUSG00000029163	chr5	30900000	32
ENSMUSG00000024803	chr19	36100000	21
ENSMUSG00000018924	chr11	70340000	29
ENSMUSG00000024909	chr19	5460000	32
ENSMUSG00000066838	chr7	7200000	32
ENSMUSG00000044328	chr11	77500000	32
ENSMUSG00000032123	chr9	44320000	32
ENSMUSG00000002658	chr17	57000000	32
ENSMUSG00000059361	chr2	152360000	24
ENSMUSG00000034000	chr1	94020000	4
ENSMUSG00000049881	chr1	157400000	32
ENSMUSG00000047562	chr9	7500000	20
ENSMUSG00000032126	chr9	44340000	32
ENSMUSG00000091692	chr7	40980000	1
ENSMUSG00000030879	chr7	105800000	32
ENSMUSG00000028952	chr4	152020000	32
ENSMUSG00000028757	chr4	138300000	32
ENSMUSG00000034173	chr5	129880000	32
ENSMUSG00000024968	chr19	7260000	32
ENSMUSG00000027776	chr3	68680000	28
ENSMUSG00000020514	chr11	58160000	32
ENSMUSG00000095901	chr7	140560000	0
ENSMUSG00000021508	chr13	56280000	32
ENSMUSG00000040424	chr7	27520000	23
ENSMUSG00000032643	chr4	124700000	32
ENSMUSG00000041037	chr7	24520000	32
ENSMUSG00000040726	chr14	26980000	16
ENSMUSG00000062905	chr6	66560000	1
ENSMUSG00000064125	chr8	4200000	32
ENSMUSG00000074254	chr7	26300000	12
ENSMUSG00000075593	chr5	138260000	21
ENSMUSG00000048503	chr9	43100000	31
ENSMUSG00000041431	chr13	100780000	32
ENSMUSG00000032446	chr9	118460000	28
ENSMUSG00000050241	chr6	129560000	22
ENSMUSG00000018339	chr11	54900000	10
ENSMUSG00000094745	chr9	39440000	0
ENSMUSG00000094595	chr4	11560000	13
ENSMUSG00000038213	chr6	125220000	32
ENSMUSG00000070983	chr4	52960000	0
ENSMUSG00000015461	chr17	34640000	32
ENSMUSG00000090693	chr9	88580000	18
ENSMUSG00000009115	chr10	76560000	28
ENSMUSG00000000058	chr6	17280000	32
ENSMUSG00000036820	chr17	24160000	32
ENSMUSG00000075204	chr2	86120000	0
ENSMUSG00000002010	chrX	73780000	32
ENSMUSG00000029536	chr5	115340000	32
ENSMUSG00000028610	chr4	107680000	22
ENSMUSG00000091012	chr6	66640000	0
ENSMUSG00000073408	chr17	35640000	10
ENSMUSG00000018733	chr11	83300000	32
ENSMUSG00000003269	chr7	45800000	32
ENSMUSG00000037924	chr1	172940000	10
ENSMUSG00000005474	chr5	136680000	17
ENSMUSG00000079380	chr14	5180000	9
ENSMUSG00000046486	chr1	174120000	0
ENSMUSG00000078974	chr11	16500000	23
ENSMUSG00000057895	chr9	122920000	32
ENSMUSG00000024818	chr19	5860000	32
ENSMUSG00000038295	chr5	24380000	32
ENSMUSG00000024891	chr19	5020000	32
ENSMUSG00000029320	chr5	103640000	23
ENSMUSG00000045378	chr17	28940000	25
ENSMUSG00000025268	chrX	150800000	23
ENSMUSG00000040345	chr10	127320000	31
ENSMUSG00000020548	chr11	65140000	20
ENSMUSG00000002608	chr7	25700000	32
ENSMUSG00000019578	chr17	56060000	32
ENSMUSG00000010841	chr11	101980000	21
ENSMUSG00000045655	chr14	78080000	19
ENSMUSG00000038227	chr6	52220000	24
ENSMUSG00000027404	chr2	130160000	32
ENSMUSG00000078630	chr7	101900000	23
ENSMUSG00000052631	chr6	72520000	31
ENSMUSG00000029402	chr5	124480000	32
ENSMUSG00000042985	chr5	136020000	27
ENSMUSG00000050373	chr2	164780000	32
ENSMUSG00000049605	chr1	173260000	0
ENSMUSG00000049482	chr8	122460000	10
ENSMUSG00000027996	chr3	83760000	32
ENSMUSG00000034872	chr10	81340000	32
ENSMUSG00000064246	chr1	134180000	31
ENSMUSG00000025839	chr2	87480000	9
ENSMUSG00000020907	chr11	67680000	23
ENSMUSG00000040321	chr2	114200000	32
ENSMUSG00000020483	chr11	87980000	32
ENSMUSG00000021886	chr12	98260000	30
ENSMUSG00000043505	chr6	48740000	32
ENSMUSG00000030707	chr7	126700000	32
ENSMUSG00000016257	chr2	174460000	32
ENSMUSG00000092277	chr17	36120000	19
ENSMUSG00000090716	chr14	44400000	1
ENSMUSG00000040701	chr14	55100000	32
ENSMUSG00000035298	chr7	99460000	32
ENSMUSG00000091537	chr9	109080000	23
ENSMUSG00000027482	chr2	154120000	12
ENSMUSG00000055838	chr2	36980000	1
ENSMUSG00000089901	chr14	43920000	23
ENSMUSG00000051243	chr9	58200000	31
ENSMUSG00000057278	chr6	86360000	23
ENSMUSG00000042774	chr10	78960000	0
ENSMUSG00000078853	chr11	58180000	32
ENSMUSG00000026253	chr1	87200000	12
ENSMUSG00000046396	chr7	103480000	0
ENSMUSG00000029022	chr4	147860000	32
ENSMUSG00000036186	chr2	26620000	32
ENSMUSG00000027581	chr2	181300000	31
ENSMUSG00000094721	chr19	13180000	0
ENSMUSG00000095928	chr16	59300000	0
ENSMUSG00000033214	chr14	111660000	23
ENSMUSG00000071909	chr13	50460000	1
ENSMUSG00000038543	chr3	95880000	32
ENSMUSG00000075100	chr2	89140000	0
ENSMUSG00000029177	chr5	30660000	32
ENSMUSG00000041205	chr16	20240000	30
ENSMUSG00000025140	chr11	120640000	32
ENSMUSG00000026087	chr1	37880000	32
ENSMUSG00000037772	chr7	142520000	23
ENSMUSG00000002396	chr8	71360000	32
ENSMUSG00000051498	chr5	64960000	31
ENSMUSG00000091814	chr14	6720000	21
ENSMUSG00000022440	chr15	78520000	32
ENSMUSG00000071547	chr14	31120000	32
ENSMUSG00000075188	chr2	86360000	0
ENSMUSG00000020836	chr11	77460000	32
ENSMUSG00000062327	chr17	8420000	17
ENSMUSG00000026934	chr2	26200000	17
ENSMUSG00000096685	chr14	6840000	8
ENSMUSG00000030142	chr6	123280000	18
ENSMUSG00000067149	chr5	88520000	32
ENSMUSG00000033520	chr13	8940000	14
ENSMUSG00000091698	chr14	43740000	2
ENSMUSG00000039067	chr8	107580000	32
ENSMUSG00000059762	chr10	129080000	0
ENSMUSG00000043782	chr17	23660000	27
ENSMUSG00000031147	chrX	7680000	31
ENSMUSG00000024087	chr17	79700000	32
ENSMUSG00000022978	chr16	90720000	32
ENSMUSG00000079271	chr14	41920000	2
ENSMUSG00000028709	chr4	115820000	32
ENSMUSG00000004268	chr6	124700000	32
ENSMUSG00000093804	chr2	111820000	0
ENSMUSG00000014771	chr17	15520000	32
ENSMUSG00000024223	chr17	28520000	20
ENSMUSG00000090440	chr14	41560000	3
ENSMUSG00000030271	chr6	113320000	32
ENSMUSG00000079741	chr9	124340000	1
ENSMUSG00000031710	chr8	83280000	26
ENSMUSG00000000579	chr17	6600000	23
ENSMUSG00000063882	chr4	116060000	32
ENSMUSG00000030045	chr6	81960000	32
ENSMUSG00000044824	chr7	102480000	6
ENSMUSG00000024777	chr19	6220000	32
ENSMUSG00000030156	chr6	129260000	23
ENSMUSG00000024767	chr19	7200000	32
ENSMUSG00000004896	chr3	87920000	32
ENSMUSG00000096320	chr19	13440000	0
ENSMUSG00000091541	chr6	57060000	0
ENSMUSG00000024218	chr17	27900000	32
ENSMUSG00000067768	chrX	73200000	22
ENSMUSG00000094151	chr14	43160000	5
ENSMUSG00000072423	chr14	54620000	16
ENSMUSG00000068962	chr7	24160000	20
ENSMUSG00000035048	chr9	102620000	32
ENSMUSG00000068806	chr2	89940000	3
ENSMUSG00000005917	chr11	22000000	19
ENSMUSG00000079845	chrX	73080000	20
ENSMUSG00000035932	chr14	51060000	3
ENSMUSG00000026095	chr1	53340000	32
ENSMUSG00000034449	chr11	84820000	32
ENSMUSG00000071489	chr14	44840000	20
ENSMUSG00000006095	chr7	30220000	32
ENSMUSG00000079267	chr14	44320000	2
ENSMUSG00000037780	chr14	41140000	14
ENSMUSG00000041354	chr17	33920000	32
ENSMUSG00000058709	chr7	27160000	32
ENSMUSG00000051313	chr2	90000000	0
ENSMUSG00000019082	chr7	141420000	32
ENSMUSG00000062037	chr15	98300000	0
ENSMUSG00000090634	chr14	43240000	2
ENSMUSG00000058132	chr7	12300000	0
ENSMUSG00000096858	chr10	129720000	0
ENSMUSG00000090658	chr13	65040000	1
ENSMUSG00000006519	chr8	122420000	10
ENSMUSG00000033159	chr1	75140000	32
ENSMUSG00000017760	chr2	164820000	32
ENSMUSG00000031723	chr8	109560000	32
ENSMUSG00000035585	chr7	3680000	23
ENSMUSG00000073956	chr7	103180000	0
